player_id,player_name,last_season,current_club_id,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,current_club_domestic_competition_id,current_club_name,club_code,club_name,competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,filename,name,sub_type,country_id,country_name,domestic_league_code,url,is_major_national_league,full_name,Still in activity,Has an agent?,market_value_in_millions
10,Miroslav Klose,2015,398,Poland,Opole,Germany,1978-06-09,Centre-Forward,Attack,right,184.0,,ASBW Sport Marketing,https://img.a.transfermarkt.technology/portrait/header/10-1448468291.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,Miroslav Klose,No,Yes,1.0
61449,Senad Lulic,2020,398,Jugoslawien (SFR),Mostar,Bosnia-Herzegovina,1986-01-18,Left Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/61449-1455552952.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,Senad Lulic,No,No,1.0
65278,Pedro,2023,398,Spain,Santa Cruz de Tenerife,Spain,1987-07-28,Right Winger,Attack,both,167.0,2024-06-30 00:00:00,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/65278-1695027154.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,,Yes,Yes,1.5
84545,Marco Parolo,2020,398,Italy,Gallarate,Italy,1985-01-25,Central Midfield,Midfield,right,184.0,,Filippo Cavadini,https://img.a.transfermarkt.technology/portrait/header/84545-1448467664.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,Marco Parolo,No,Yes,1.0
105521,Ciro Immobile,2023,398,Italy,Torre Annunziata,Italy,1990-02-20,Centre-Forward,Attack,right,185.0,2026-06-30 00:00:00,Gea World,https://img.a.transfermarkt.technology/portrait/header/105521-1682689697.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,Ciro Immobile,Yes,Yes,7.0
126729,Patric,2023,398,Spain,Mula,Spain,1993-04-17,Centre-Back,Defender,right,184.0,2027-06-30 00:00:00,Team Raiola,https://img.a.transfermarkt.technology/portrait/header/126729-1695026786.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,,Yes,Yes,4.0
128220,Luis Alberto,2023,398,Spain,San José del Valle,Spain,1992-09-28,Central Midfield,Midfield,right,183.0,2027-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/128220-1695026651.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,,Yes,Yes,14.0
143812,Matías Vecino,2023,398,Uruguay,San Jacinto,Uruguay,1991-08-24,Central Midfield,Midfield,right,187.0,2025-06-30 00:00:00,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/143812-1695026891.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,Matías Vecino,Yes,Yes,3.0
159372,Felipe Anderson,2023,398,Brazil,Brasília,Brazil,1993-04-15,Right Winger,Attack,right,175.0,2024-06-30 00:00:00,Conquest,https://img.a.transfermarkt.technology/portrait/header/159372-1692963183.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,,Yes,Yes,10.0
197747,Alessio Romagnoli,2023,398,Italy,Anzio,Italy,1995-01-12,Centre-Back,Defender,left,185.0,2027-06-30 00:00:00,Team Raiola,https://img.a.transfermarkt.technology/portrait/header/197747-1650543426.jpg?lm=1,IT1,Società Sportiva Lazio S.p.A.,lazio-rom,Società Sportiva Lazio S.p.A.,IT1,,27,27.6,15,55.6,12,Olimpico di Roma,73261,9900000.0,,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,serie-a,first_tier,75,Italy,IT1,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True,Alessio Romagnoli,Yes,Yes,15.0
